Name,Description,Price,Rating,URL,image,Categories[]
Sunrise on the Reaping,fifth book in the Hunger Games series,28,4.7,https://www.amazon.ca/dp/1546171460/,sunrise-on the-reaping.jpg,Books
Custom name necklace,Classic Cocktail Name Necklace in 18K Gold Plating,72,4.9,https://www.mynamenecklacecanada.com/products/classic-cocktail-name-necklace-in-18k-gold-plating?m=d15edb2c-e11e-4dd6-9f1f-db77153f329c,name_necklace.jpg,Jewelry
SEIKO Automatic Watch for Men,Japanese automatic mechanical watch,400,4.5,https://www.amazon.ca/dp/B07ZHQDQB2/,seiko.jpg,Watches
Scented Candle Set,6 Pack 3.5Oz candle set,28,4.2,https://www.amazon.ca/dp/B09KKMLB77/,Scented Candle Set.jpg,Candles
Chocolate Treats Gift Baskets,"gift package of cocoa truffles, milk chocolates, caramel and sea salt chocolates, and more.",80,3.9,https://www.amazon.ca/dp/B0DFMCX4SQ,chocolate.jpg,"Chocolate, Desserts"
Niagara Wine Tasting Experience,Niagara wine tasting tour,200,4,https://www.tourniagarawineries.com/tours,wine-tour.png,"Wine, Food Tourism, Solo Travel"
Apple AirPods Pro 2,Active noise cancellation and immersive sound quality for music and calls.,317.99,4.6,https://www.amazon.ca/dp/B0CHWRXH8B/,airpod-pro2.jpg,"Wireless Earbuds, Music"
Kindle Paperwhite,E-reader with built-in light and waterproof design ideal for book lovers.,229.99,4.5,https://www.amazon.ca/dp/B0CTMS13LN,kindle.jpg,"Books,E-Readers"
Instant Pot Duo,7-in-1 electric pressure cooker perfect for quick and delicious family meals.,142.16,4.5,https://www.amazon.ca/dp/B00FLYWNYQ,insta-pot.jpg,"Kitchen supplies, Home essentials"
Pixel watch 3,"Advanced Fitness Tracking from Fitbit, Google AI for Personalized Running Recommendations, Body Readiness Score, Fitbit Morning Brief",549.99,4.4,https://www.amazon.ca/dp/B0D913TDZD/,pixel-watch3.jpg,Smartwatches
Nespresso Vertuo Next,High-performance coffee maker that brews barista-quality beverages.,299.99,4.4,https://www.amazon.ca/dp/B09V93MBP7,Nespresso-Vertuo.jpg,"Coffee, Kitchen supplies"
Fujifilm Instax Mini 12,Fun instant camera that creates credit-cardâ€“sized photos on the spot.,99.99,4.6,https://www.amazon.ca/dp/B0BWNYBRNL/,fujifilm-12.jpg,Photography
Echo Dot,Compact smart speaker with Alexa integration for hands-free assistance.,69.99,4.6,https://www.amazon.ca/dp/B09B8V1LZ3/,echo-dot.jpg,"Smart Home Gadgets, Music"
Bose QuietComfort Headphones,Wireless noise-cancelling headphones for an immersive audio experience.,479.99,4.4,https://www.amazon.ca/dp/B0CCZ26B5V/,Bose-quietcomfort-headphones.jpg,"Wireless Earbuds, Music"
Apple iPad Air (M2),"Lightweight tablet with powerful performance for work, play, and creativity.",799.99,4.6,https://www.amazon.ca/dp/B0D3J84DD8/,ipad-M2.jpg,Tablets
Samsung Galaxy Tab S10,High-resolution tablet with S Pen support and robust multitasking features.,1099.99,4.6,https://www.amazon.ca/dp/B0DHH97DM5/,Galaxy-tab-s10.jpg,Tablets
Dyson V15 Cordless Vacuum,"Advanced cordless vacuum providing powerful, efficient cleaning.",1166.42,4.5,https://www.amazon.ca/dp/B0CT97D9R2/,Dyson-V15.jpg,Home essentials
Hamilton Beach Electric Indoor Grill,Indoor grill designed for healthy and delicious cooking at home.,76.38,4.5,https://www.amazon.ca/dp/B0793D34ZH,hamilton-beach-panini.jpg,"Kitchen supplies, Home essentials"
Ember Temperature Control Mug 2,Smart mug that keeps your beverage at the perfect temperature.,199.99,4.1,https://www.amazon.ca/dp/B08D3XPCZR/,ember-mug2.jpg,"Coffee, Tea, Kitchen supplies"
All-Clad Stainless Steel Cookware Set,Professional-grade cookware set for the gourmet home chef.,815.45,4.4,https://www.amazon.ca/dp/B005H8KD3E/,All-Clad-Stainless-Cookware.jpg,"Kitchen supplies, Home essentials"
Breville Espresso Machine,High-end espresso machine for brewing cafe-quality coffee at home.,969.95,4.4,https://www.amazon.ca/dp/B00CH9QWOU,Breville-Espresso-Machine.jpg,"Coffee, Kitchen supplies, Home essentials"
Vitamix E310 Blender,"Powerful blender designed for smoothies, soups, and more.",499.95,4.5,https://www.amazon.ca/dp/B0758JHZM3/,Vitamix-E310-Blender.jpg,"Kitchen supplies, Home essentials"
Garmin Forerunner 255,Advanced GPS watch for runners offering precise performance metrics.,329.99,4.6,https://www.amazon.ca/dp/B09WTV6MMY/,Garmin-Forerunner-255.jpg,Smartwatches
